zipcode, count, lat, lon
14853,5,42.4467049,-76.4830579
44286,2,41.2274088,-81.6363869
33328,1,26.0725672,-80.2711588
14850,1,42.435511,-76.5257007
55344,2,44.865243,-93.4094629
74063,2,36.1464769,-96.195132
48118,1,42.2980829,-84.0378894
73494,2,30.5074556,41.8948341
65802,1,37.1953893,-93.3892894
21401,5,38.9851115,-76.5603828
21403,1,38.9359831,-76.4910093
78258,3,29.6451457,-98.4732718
73120,2,35.578861,-97.5788975
22180,2,38.8950354,-77.2577571
54914,1,44.26558,-88.4306955
19403,1,40.1403357,-75.3995089
33030,2,25.4802746,-80.5271756
48895,2,42.702277,-84.2910759
33558,1,28.1762931,-82.5077593
32653,1,29.7429556,-82.3777335
33928,1,26.4273206,-81.7239979
33556,1,28.1222486,-82.5834947
27409,2,36.0896801,-79.9528451
97015,3,45.4120158,-122.54578
94804,1,37.9158152,-122.3390936
29451,1,32.8203378,-79.7455956
33634,2,28.01574,-82.5510469
30677,1,33.7764415,-83.4003037
98502,1,47.0670291,-123.0511606
76110,1,32.7011609,-97.3354531
60506,2,41.7691984,-88.3821989
92117,1,32.8250767,-117.2029363
28403,2,34.2253022,-77.8710285
39564,1,30.4069394,-88.7686382
97339,1,44.5619717,-123.2608574
98105,4,47.6614244,-122.2683743
30602,1,33.954258,-83.3749322
30606,3,33.9448436,-83.4323375
83714,2,43.7235259,-116.2692976
97702,2,43.9657221,-121.2196397
96790,2,20.7278194,-156.3081217
97526,1,42.5052649,-123.3273155
23693,1,37.1224466,-76.4447397
99202,3,47.6568696,-117.3719973
34119,1,26.2632309,-81.7239979
06897,2,41.2077334,-73.4415929
99208,1,47.7872368,-117.4644801
63841,1,36.7604012,-89.9813445
02379,1,42.0302666,-71.014118
85021,4,33.563442,-112.0893682
66206,1,38.9538595,-94.6192114
97202,1,45.4807521,-122.6427372
80110,5,39.6487896,-105.0148322
02818,1,41.6496052,-71.4893013
77833,1,30.2352956,-96.365157
49461,1,43.376782,-86.3275351
23320,2,36.7578013,-76.2131474
77084,1,29.8296506,-95.6668306
99515,1,61.1199289,-149.8936503
10023,2,40.7769059,-73.9800645
33071,2,26.2480143,-80.2711588
14623,2,43.0915814,-77.6421577
32610,2,29.63923,-82.34331
32615,1,29.8303455,-82.4969331
70803,3,30.41,-91.18
44601,1,40.9202113,-81.1416691
95677,3,38.7870973,-121.2282958
33771,1,27.9046811,-82.7616822
55304,2,45.2713588,-93.2743378
13053,1,42.4709592,-76.2594981
13057,1,43.0968443,-76.0507949
30328,4,33.9253024,-84.3857442
76017,1,32.6614911,-97.1467072
98033,6,47.6688298,-122.1923875
01801,3,42.4884618,-71.1329685
43017,1,40.115674,-83.1327332
94939,1,37.938818,-122.5344456
87106,1,35.0729762,-106.6173415
32751,4,28.6366753,-81.3674389
08055,1,39.8630611,-74.8156199
87109,1,35.1590068,-106.5760857
20878,1,39.1048032,-77.2520101
01366,1,42.4861078,-72.2126905
20877,3,39.1438746,-77.1887747
20707,3,39.1043687,-76.8836261
76088,1,32.8495562,-97.9374948
30214,2,33.473501,-84.5012435
84047,1,40.6112959,-111.8985922
90504,2,33.8673266,-118.3286614
95065,2,37.0353977,-121.9871217
61801,1,40.1060728,-88.2217733
61802,2,40.110052,-88.148657
67211,1,37.67231,-97.3138554
34474,1,29.1561929,-82.2039882
05672,2,44.4835983,-72.7045432
10065,2,40.7645239,-73.9624327
64064,3,38.9791799,-94.3667907
68134,1,41.2921503,-96.0573302
75093,1,33.0386278,-96.8243812
55113,1,45.0122826,-93.1640525
48824,2,42.7247832,-84.4832117
60445,1,41.6339479,-87.7418842
84015,1,41.1333549,-112.0595603
12401,1,41.9511782,-74.006509
94116,3,37.7432421,-122.497668
70119,1,29.9798109,-90.0793488
06854,2,41.0924881,-73.4239143
80538,2,40.4853645,-105.2428853
91364,3,34.1544724,-118.5914696
03801,2,43.0874906,-70.8357792
48326,1,42.6742723,-83.2398943
77055,6,29.7970042,-95.4830243
54208,4,44.3591968,-87.7960067
05495,1,44.4315664,-73.1059193
19380,1,39.986277,-75.6091696
53792,1,43.0772547,-89.430773
60612,1,41.8816606,-87.6926257
87508,1,35.4578674,-105.7585908
75025,1,33.0869379,-96.7601057
87505,1,35.616067,-105.8525154
63122,2,38.5787831,-90.4219444
90049,1,34.0963058,-118.4980744
32825,1,28.5417016,-81.2408689
85705,2,32.2680738,-110.9923904
19486,1,40.206625,-75.2984702
27406,1,36.0196499,-79.7624177
91107,2,34.1642396,-118.0830047
22406,1,38.3836812,-77.5390127
01845,2,42.6696364,-71.0854325
95124,1,37.2583724,-121.918866
20198,1,38.8991212,-77.7223162
33317,1,26.1218038,-80.2209773
32223,1,30.1588305,-81.6582994
27262,1,35.9679365,-80.0423151
78758,2,30.3870686,-97.7036561
60123,1,42.0361546,-88.314212
75287,6,32.9985237,-96.84046
52404,2,41.9270157,-91.6955092
94301,1,37.4457966,-122.1575745
85233,2,33.3519301,-111.8210866
85331,1,33.8752397,-111.9284017
34231,1,27.2612782,-82.5131717
34232,2,27.3346138,-82.4644445
27312,1,35.7524399,-79.1774268
27310,1,36.1794934,-79.9975916
34994,1,27.1916272,-80.2488596
76051,2,32.9464268,-97.0713572
20639,2,38.6115662,-76.6181655
77339,1,30.0442264,-95.2162283
77338,1,29.9956304,-95.2788926
40511,1,38.1248882,-84.5012435
40510,1,38.0765476,-84.5955732
23452,2,36.849734,-76.097201
92103,1,32.749789,-117.1676501
77077,1,29.7451163,-95.6195112
77807,2,30.665991,-96.471658
33442,2,26.3042864,-80.1540226
10019,2,40.7686973,-73.9918181
89104,1,36.149751,-115.0762536
32550,2,30.374367,-86.3585578
89511,3,39.3809028,-119.9277947
19102,1,39.9556241,-75.1647529
19103,1,39.9531865,-75.1749671
92602,1,33.7514861,-117.7549295
28173,1,34.9274555,-80.7436141
19104,4,39.9583587,-75.1953934
33169,1,25.9400585,-80.2153998
92211,1,33.7637689,-116.3426552
35805,1,34.6939733,-86.6107106
55416,2,44.9465193,-93.3439291
50036,1,42.0528293,-93.8655303
32608,1,29.6156734,-82.3659168
48034,5,42.4966195,-83.2880591
33614,1,28.0133862,-82.5077593
32216,2,30.2906907,-81.5706109
77064,2,29.9161683,-95.5302337
27103,1,36.0564654,-80.3324514
24061,3,37.2332092,-80.4244805
24060,4,37.2724841,-80.4326521
33762,1,27.9006925,-82.6861446
23284,1,37.5481822,-77.4533454
35243,1,33.4514846,-86.7315785
83467,1,44.9479845,-113.9660111
44321,4,41.0875099,-81.6363869
01373,2,42.4657318,-72.6269437
01375,1,42.4546495,-72.5559746
37167,1,35.9632133,-86.5299673
87112,1,35.1030501,-106.5171626
87113,2,35.1894316,-106.5878723
87111,1,35.1322706,-106.4994889
11795,2,40.7111586,-73.3060197
78727,1,30.432242,-97.7145152
40223,2,38.2586184,-85.5457689
85392,2,33.4763518,-112.2980119
27606,1,35.7418297,-78.713608
27607,3,35.8019142,-78.6875364
01536,2,42.2356407,-71.6969985
80222,2,39.6696322,-104.9330448
91775,1,34.1232517,-118.0830047
45439,1,39.703893,-84.2173403
77845,1,30.5368372,-96.3013432
53719,4,43.0282084,-89.5214505
45227,1,39.1495912,-84.3909991
02130,4,42.3097365,-71.1151431
53711,1,43.0078309,-89.3321823
02882,1,41.3983403,-71.4893013
02886,2,41.7034769,-71.4655565
63005,3,38.6299452,-90.6962853
48823,1,42.758734,-84.448772
17403,3,39.919617,-76.7221082
75229,1,32.8958284,-96.8726295
66083,1,38.741877,-94.8313257
90631,1,33.9226618,-117.9600466
80033,1,39.7775841,-105.1083542
55108,1,44.9790183,-93.1855735
55109,1,45.0155505,-93.0435224
07924,1,40.7295773,-74.5814773
80523,4,40.57,-105.09
80526,1,40.5293254,-105.1375908
35022,4,33.2891965,-86.9624086
80524,1,40.6358803,-105.0089888
80525,1,40.5417839,-105.044052
90025,2,34.0448583,-118.4484367
77345,1,30.0522464,-95.1588464
11803,2,40.7848157,-73.471054
99049,1,44.61665,33.525367
43210,4,39.9990626,-83.0173386
99164,1,46.7287207,-117.1542743
02081,2,42.1470851,-71.2517835
60622,1,41.9013087,-87.6827676
07724,1,40.3038147,-74.0887576
85641,1,32.0149212,-110.6645683
61350,1,41.375388,-88.8455037
33406,5,26.6561841,-80.0926014
33156,1,25.6579955,-80.2878794
02451,2,42.4004692,-71.2577233
65211,6,38.9331391,-92.3738037
37934,1,35.8722577,-84.1751648
77034,2,29.6124152,-95.1901384
80917,1,38.8825531,-104.7345937
06410,1,41.5083668,-72.9106202
98661,1,45.6405414,-122.6204002
98668,1,45.6405989,-122.6234603
92025,1,33.090285,-117.0499859
18902,1,40.3610338,-75.0961549
34293,1,27.0236113,-82.3343375
18052,1,40.6572331,-75.4985521
95032,1,37.2260616,-121.9302449
32073,3,30.1643797,-81.7458845
27455,1,36.1857974,-79.8184684
46060,1,40.0542448,-85.9508923
27518,3,35.7315398,-78.7759559
38018,1,35.1376546,-89.7661527
94523,3,37.9448915,-122.0723816
94521,1,37.9538109,-121.9643745
66506,1,39.1998042,-96.581008
52246,1,41.6597963,-91.6080974
27320,1,36.3790421,-79.6951103
20892,1,39.0023604,-77.097455
07652,2,40.9445428,-74.0754189
21228,1,39.2724771,-76.745195
92111,4,32.8256427,-117.1558867
84106,5,40.7078639,-111.8508966
14546,2,43.0383054,-77.7680952
60090,2,42.1335205,-87.9187711
11738,1,40.8380145,-73.0346244
90069,1,34.0931603,-118.3783347
96814,1,21.2966976,-157.8480364
95687,1,38.3286205,-121.9359339
01719,1,42.4955325,-71.5130445
35080,1,33.2543052,-86.9123217
23221,1,37.5488885,-77.4874049
75275,1,32.84,-96.78
94070,8,37.4975165,-122.2710602
01760,1,42.2775281,-71.3468091
48302,2,42.5805638,-83.3041061
03820,1,43.1819713,-70.8952337
70820,1,30.372807,-91.1833043
85704,2,32.3395031,-110.9864294
06902,1,41.0411194,-73.541744
74078,1,36.1198996,-97.0888415
33626,1,28.0658088,-82.6159271
19720,2,39.6317596,-75.5975296
83687,1,43.6189362,-116.5346883
43085,3,40.103832,-83.0200245
10502,4,41.012961,-73.8389657
53574,1,42.8047254,-89.6439924
10507,2,41.2300691,-73.6948234
95618,1,38.518893,-121.6511258
95616,10,38.5474428,-121.7765309
33458,2,26.931397,-80.109357
60563,1,41.7962928,-88.1974148
03053,1,42.8842866,-71.4061876
88088,1,48.6208,22.287883
00926,1,18.3419118,-66.058249
92675,2,33.5039207,-117.5613246
97005,1,45.4923824,-122.8029665
29464,2,32.8234848,-79.8520818
93420,2,35.1777937,-120.4818446
37204,2,36.1003494,-86.7718017
93012,3,34.2295937,-118.9761519
83025,1,43.5918446,-110.8417411
99301,2,46.3537739,-118.9197656
49503,1,42.9616689,-85.6588999
78731,2,30.3542409,-97.7742702
